"tick","P Sell Price","P Avg Buy","I Sell Price","I Avg Buy","W Sell Price","W Avg Buy","R Sell Price","R Avg Buy"
69.0,0.8868143835330783,0.4481678372090464,1.4238963062581844,0.7387708090726255,34.533909626591594,18.343889945509417,113.13904122427283,56.59918706470194
70.0,0.8867471005701689,0.4481342068880248,1.4238994578111976,0.7387723848491321,34.533909626591594,18.343889945509417,112.74424345008988,56.40178817761046
71.0,0.8866936313337,0.44810747226979036,1.4238994578111976,0.7387723848491321,34.533909626591594,18.343889945509417,109.96757080558558,56.243869067937275
72.0,0.8866508559445251,0.4480860845752029,1.4072370710987883,0.7386766017787614,34.533909626591594,18.343889945509417,109.56974625089698,56.11193693352261
73.0,0.8866166356331852,0.44806897441953286,1.3911710763783263,0.7386766017787614,34.533909626591594,18.343889945509417,109.56974625089698,56.11193693352261
74.0,0.886589259384113,0.44805528629499686,1.3749394263185775,0.7386766017787614,34.533909626591594,18.343889945509417,109.56974625089698,56.11193693352261
75.0,0.8865673583848555,0.44804433579536806,1.3749394263185775,0.7386766017787614,34.533909626591594,18.343889945509417,109.56974625089698,56.11193693352261
76.0,0.8865498375854494,0.448035575395665,1.3749394263185775,0.7386766017787614,34.533909626591594,18.343889945509417,109.68021233040167,56.10684889108977
77.0,0.8865358209459245,0.44802856707590255,1.3749394263185775,0.7386766017787614,34.30988264813184,18.343889945509417,109.68021233040167,56.10684889108977
78.0,0.8970557786721476,0.4480245403025105,1.3749394263185775,0.7386766017787614,34.30988264813184,18.343889945509417,109.68021233040167,56.10684889108977
79.0,0.8970489967380134,0.44802131888379676,1.3749394263185775,0.7386766017787614,34.30988264813184,18.343889945509417,109.56704760893365,56.10684889108977
80.0,0.8970437997563758,0.4480188503175189,1.3749394263185775,0.7386766017787614,34.30988264813184,18.343889945509417,109.00429261324963,55.811402518355656
81.0,0.8970437997563758,0.4480188503175189,1.3749394263185775,0.7386766017787614,34.30988264813184,18.343889945509417,108.5540886167024,55.57504542016836
82.0,0.8970437997563758,0.4480188503175189,1.3749394263185775,0.7386766017787614,34.30988264813184,18.343889945509417,108.19392541946465,55.385959741618535
83.0,0.8970437997563758,0.4480188503175189,1.3749394263185775,0.7386766017787614,34.30988264813184,18.343889945509417,107.90579486167442,55.23469119877867
84.0,0.8927115341864952,0.4480188503175189,1.3749394263185775,0.7386766017787614,33.266604262742796,17.796168793180172,107.67529041544223,55.11367636450678
85.0,0.8927115341864952,0.4480188503175189,1.3749394263185775,0.7386766017787614,32.43198155443156,17.35799187131677,107.06950506034828,54.81670814298786
86.0,0.8927115341864952,0.4480188503175189,1.3749394263185775,0.7386766017787614,31.188280683017005,17.007450333826053,106.73239962186173,54.65658305970675
87.0,0.8883554175529241,0.4480188503175189,1.3749394263185775,0.7386766017787614,30.654122149697816,16.727017103833475,106.73239962186173,54.65658305970675
88.0,0.8883554175529241,0.4480188503175189,1.3749394263185775,0.7386766017787614,30.654122149697816,16.727017103833475,106.73239962186173,54.65658305970675
89.0,0.8883554175529241,0.4480188503175189,1.3619039430532875,0.731507085982852,30.654122149697816,16.727017103833475,106.73239962186173,54.65658305970675
