"run","tick","random_seed","Produced","Deleted","Consumed","Cut Source","Cut Produced","Consumed Low","Consumed High","Quality ES High","Quality ES Low","Quality NL High","Quality NL Low"
830,1000.0,-1876771821,21824.008499466418,16061.74360060221,5350.181121854744,717.4743258275575,1076.2114887413356,4592.825025409481,757.3560964452626,1890.8526441480005,5708.53637826825,100.53651686545345,348.8022664213213
832,1000.0,-1876767200,19131.492275415196,9563.818370738436,8501.285152849721,1715.0314414531042,2572.5471621796605,7162.237499768515,1339.0476530812064,1948.3737845219962,3308.1345077869287,2743.2399923884077,5403.75982734427
834,1000.0,-1876761149,13866.739879078774,7924.879022685276,5183.551794292904,771.8889179556518,1157.833376933478,4120.216301633445,1063.3354926594584,1602.7797097919558,2876.1940829545247,1286.9309117344985,2644.90604328415
836,1000.0,-1876757064,12835.095116428018,6583.278075004641,5357.945095415331,742.0630833533297,1113.0946250299944,4521.5582012541345,836.3868941611961,1825.5187588358638,4322.738363487255,828.4645209790473,1387.4007554186103
838,1000.0,-1876753428,10425.633780679462,8078.149755696769,2398.4520132597418,596.2455872705452,894.3683809058174,1928.4661718611985,469.98584139854347,773.2929036558257,950.8794810473507,910.5550008484494,1747.6657476650191
840,1000.0,-1876750907,17395.049066315438,15499.657258464733,1605.0394463376895,541.7931898493574,812.6897847740363,1406.4212822425156,198.61816409517388,569.6400951372838,941.9711426807894,461.9952314235635,317.442707308262
842,1000.0,-1876748899,11573.569810822446,6199.500811329374,4483.097401609536,487.63506261966637,731.4525939294995,3854.6868292431327,628.4105723664032,600.8130426147992,1491.416409819572,1371.5202753037454,4309.524766979375
844,1000.0,-1876746301,8115.5937782792635,4696.6347709609945,3087.5094175329846,155.74015111034967,233.61022666552452,2984.8496801669085,102.65973736607592,158.20861774615102,342.83526517331285,358.6740969705627,3931.7004610768063
846,1000.0,-1876744043,13672.659443730963,8139.895106793238,5088.479918173133,1199.0093395988963,1798.5140093983428,4596.609974184836,491.8699439882976,1954.3443702986644,3675.179937769345,939.7496147512223,1797.5004371432187
848,1000.0,-1876740833,14741.088500816839,9350.460062991906,4444.194457372614,594.8956567582353,892.343485137353,4038.9786810486735,405.2157763239407,935.6849531637323,3558.962056556204,981.6010480042305,1916.307158845765
850,1000.0,-1876737877,11439.428816056334,7062.648020652541,3703.2438644415224,562.7210648465101,844.0815972697656,3227.14386170733,476.1000027341927,1578.9218934324479,3306.7726102866045,76.20231971486476,300.18389440587856
852,1000.0,-1876735510,10864.949712322708,5559.67458736605,4687.627770034896,795.7412963619055,1193.6119445428583,4097.3073647693745,590.3204052655209,902.5597544492825,2648.8823523949904,1078.4703658507378,2214.9990828831305
854,1000.0,-1876732714,11897.542582876224,6881.1636600328875,4627.029797486423,616.2452650022948,924.367897503442,3689.538080085489,937.4917174009344,1028.0306234648842,1729.3228783863885,1456.2506299920171,2858.9243349393823
856,1000.0,-1876730049,14769.193159508464,9604.212566825443,5262.783582472954,1394.9179472555718,2092.3769208833555,4801.220615023752,461.5629674492017,933.2340528534493,2797.4380058622155,2084.939502299234,2404.8304695627075
858,1000.0,-1876727108,18075.03608743078,12775.070103120337,3617.216321166823,631.2411454226063,946.8617181339098,2847.0321609834264,770.1841601833968,1126.7361817301767,2263.577778475852,1684.5520815878272,1885.323730424594
860,1000.0,-1876724520,13934.17637048935,10284.543566255277,3035.975128903831,422.5219751883561,633.7829627825347,2861.0547340536677,174.92039485016326,1153.7566091881922,3377.201121985603,75.34309970855324,155.18518881821615
862,1000.0,-1876722103,13515.597901169662,7867.099254662677,5234.427812984877,1027.2571683278604,1540.88575249179,4382.160045300353,852.2677676845246,975.9089847700066,1543.9470461480591,2118.4690053393842,3660.394697461309
864,1000.0,-1876718269,14699.305416380428,7965.5053498893385,5745.607871249888,717.0886933209908,1075.6330399814856,4874.39537549472,871.2124957551688,776.4218158444827,1837.4474564349396,1805.318984384726,4066.7512914932377
866,1000.0,-1876714285,14211.989592758844,8182.415666782539,4934.155845227652,874.2882296976874,1311.4323445465309,4514.378804136526,419.77704109112625,1426.3190423870333,4258.077121592588,985.7716401415698,1748.2554862679003
868,1000.0,-1876711179,20409.43308113802,15455.905793084785,4563.991822551146,953.4890067121149,1430.2335100681728,3776.0546252200293,787.9371973311161,1077.5057755998084,1871.8011501994006,2109.6906646894945,3435.196870136092
870,1000.0,-1876707569,17151.15186126124,12794.291043254785,3459.344509799562,668.209764895738,1002.3146473436075,2957.8941769477697,501.4503328517921,1535.319538286422,3464.906399734539,219.58215110573275,337.3461033427841
872,1000.0,-1876705246,13459.80495224287,8037.4670329619585,5193.086985814009,373.2777874175461,559.9166811263191,4826.143530698424,366.9434551155848,446.78952362681594,2263.1575073120175,1077.9196433402872,4768.763351728283
