"run","tick","random_seed","Produced","Deleted","Consumed","Cut Source","Cut Produced","Consumed Low","Consumed High","Quality ES High","Quality ES Low","Quality NL High","Quality NL Low"
623,1000.0,-1195606082,8369.462685527,6206.479279788982,1468.054869948628,337.97606587996313,506.96409881994447,1287.1638201226667,180.89104982596137,846.0023857755633,1564.5145629342358,610.8107747674294,1014.6245288776921
625,1000.0,-1195604633,6865.591762601332,4191.022288908005,2085.312256371159,483.7259040094052,725.5888560141077,1812.995003270141,272.31725310101797,688.1746476481613,1461.7645888783118,887.7103018227463,1024.883855261335
627,1000.0,-1195603099,10677.6819379998,8584.991898098342,1764.1314795999085,445.5955925889738,668.3933888834607,1636.4762634362191,127.65521616368942,375.64816445347867,1283.8061988199565,756.6495591807433,1468.5680346895692
629,1000.0,-1195601091,6868.651027762442,5471.85732647676,1420.1763576576316,404.1949964277132,606.2924946415699,1242.8006533295381,177.37570432809338,411.5664789804075,1054.86911861359,632.1060359677118,1220.833188031276
631,1000.0,-1195599688,10651.457681292839,6407.748062804036,3671.4406630014487,287.49391934186997,431.2408790128048,3470.5835379329865,200.85712506846218,589.7744762205831,1987.816253871574,522.3719210712729,3323.4773468171948
633,1000.0,-1195596739,9200.303858288993,7154.263120078348,1824.9356959949641,313.910310406598,470.86546560989694,1746.2556249192094,78.68007107575467,577.4727993796105,1197.3035628496716,443.53845542260507,2024.905497442204
635,1000.0,-1195595039,8976.446488593334,5663.756332456959,2770.2327736393513,767.3350945809395,1151.002641871409,2334.2868425116676,435.9459311276836,1475.9284714013977,2143.3810117517123,632.1321209187795,996.3475692583974
637,1000.0,-1195593038,9937.211226339232,6026.896277023666,2796.4827116317515,765.303790465927,1147.9556856988897,2342.4497545283516,454.0329571033997,702.633040411125,1929.967780035679,1172.3452743497774,1622.5003562795453
639,1000.0,-1195590766,7891.067618606276,5918.645547114708,1346.2968971505352,235.54072824111685,353.31109236167526,1085.2284815608928,261.06841558964237,991.3132507577719,1018.1059456274622,199.17134094929526,968.6238881658513
641,1000.0,-1195589485,9275.341291407414,6273.087591563859,2727.5048150312637,741.8161214676704,1112.7241822015058,2266.5075865187614,460.9972285125021,772.8034558952695,1157.0835542383898,1165.475087600135,1601.5501881298323
643,1000.0,-1195587387,8102.44578295001,5012.105623889791,2818.0996147370315,504.61756383859813,756.9263457578973,2532.700019970009,285.3995947670224,681.2454358336129,1537.6973990805302,971.4199365336483,1963.3407177624565
645,1000.0,-1195585426,9615.844497735276,7104.908886756282,1890.1208538597805,596.5013722741137,894.7520584111707,1698.1424975868856,191.97835627289484,702.0216126096044,1552.440277052622,704.2949347206908,1212.1313357817828
647,1000.0,-1195583593,10678.291009417422,6824.889479244073,2971.541397282151,755.0393303416864,1132.5589955125297,2647.559913914006,323.98148336814546,464.2080842092265,590.9531771182534,1519.7913584635435,3038.223517661808
649,1000.0,-1195580907,9433.110792608033,6695.4632064781235,2826.142415216006,400.282441146833,600.4236617202497,2382.981236088656,443.1611791273506,258.4174835569873,393.65705364847656,1303.0873923938755,2972.6362390042755
651,1000.0,-1195578487,12292.333415635638,7821.527824284138,3317.26104516432,436.70032820442384,655.0504923066358,3116.6924406600224,200.56860450429747,731.2000574510228,2130.374716373499,912.7943559410528,2329.772290945686
653,1000.0,-1195575962,10637.211884719996,7481.901695882218,2324.2639615735557,399.6961964379565,599.5442946569352,1501.7630991300553,822.5008624435003,1020.5406200094745,1042.7885304819793,1327.5933780240373,1875.5757226987025
655,1000.0,-1195574008,12102.763007902206,8085.882804181055,3903.9020826150745,935.565080164535,1403.3476202468028,3367.4583208543563,536.4437617607184,1457.298892577353,2618.529056577371,1237.4819865027075,2413.847196900739
657,1000.0,-1195571015,10245.571986240044,8757.00463967499,1798.1600992383678,709.9480119670975,1064.9220179506465,1595.238053386052,202.92204585231585,663.6502445265477,1803.7468715627663,1062.989249770091,1494.570106204219
659,1000.0,-1195569103,12169.486497266851,8519.621187748831,2898.0981543479274,445.34174433974147,668.0126165096121,2610.3792741293246,287.7188802186029,453.55368751049866,1780.254544363191,1211.9724789939887,2461.415070956989
661,1000.0,-1195566130,6314.961475837958,4119.198079141048,2246.2314099200776,529.7334665603292,794.6001998404936,2072.7632231672073,173.46818675287025,541.8380150859495,1007.2411481720784,937.4946810477259,1606.5457626299633
663,1000.0,-1195564474,10152.842075218694,6463.271243108999,2567.4049130531134,847.2754603750836,1270.913190562626,2246.735566192665,320.66934686044834,1198.7019521418815,1459.5457557968898,1237.6018025256444,1455.8597407635132
665,1000.0,-1195562275,10211.203975423252,7128.699219259788,2243.2936938737207,461.0303016240587,691.545452436088,1989.3822343506943,253.91145952302648,232.02209570098557,814.4146386463793,1054.8591875119228,2874.2435924715373
667,1000.0,-1195560348,8265.386259817975,5358.084198407867,3280.0912850405566,764.959340637343,1147.4390109560147,2391.534897695538,888.556387345019,1671.3313125574484,1848.2524739402652,917.1653251004562,1237.1749451917317
669,1000.0,-1195557488,10360.711571021006,7900.651886827958,1942.4231431360124,416.48363954839715,624.7254593225958,1641.3491043285092,301.0740388075032,1070.3454456003644,1063.1018180039632,1075.1729488004287,1728.0535063583397
671,1000.0,-1195555655,10245.474036386106,6576.129144524477,3315.9940647135245,518.5717209429728,777.8575814144589,2756.3282078454167,559.6658568681078,925.3609646188819,2255.4999274456204,842.252223924039,1932.7972449805663
