"tick","IdSupplier","IdClient","LocationX","LocationY","Size"
18.0,11,22,35.6,31.650000000000006,5.239056913272592
18.0,10,24,32.599999999999994,34.0,5.108083353659645
18.0,15,18,35.599999999999994,19.9,6.3565394281825975
18.0,15,18,38.599999999999994,28.4,6.1936958979325345
18.0,1,1,2.2,31.2,1.314688133274148
18.0,10,24,35.599999999999994,25.5,5.0
18.0,3,3,2.2,26.2,1.324895457263875
18.0,3,3,3.2,26.2,0.7375
18.0,14,20,35.6,17.3,3.288208391459193
18.0,15,18,32.599999999999994,11.399999999999999,6.568134643618883
19.0,1,1,4.2,31.2,0.7375
19.0,11,22,35.6,31.650000000000006,5.353557131793917
19.0,18,23,47.6,28.6,3.2415873997045184
19.0,22,19,47.6,31.55,1.8068733628555815
19.0,1,1,2.2,31.2,1.9603824625698696
19.0,11,22,38.6,26.400000000000006,5.239056913272592
19.0,10,24,35.599999999999994,25.5,5.108083353659645
19.0,10,24,32.599999999999994,34.0,5.307403866254966
19.0,18,23,44.6,31.6,3.348274175069238
19.0,15,18,38.599999999999994,28.4,6.3565394281825975
19.0,1,1,3.2,31.2,1.314688133274148
19.0,10,24,38.599999999999994,17.0,5.0
19.0,3,3,3.2,26.2,1.324895457263875
19.0,22,19,44.6,27.3,1.8189191113752583
19.0,3,3,4.2,26.2,0.7375
19.0,11,22,32.6,36.900000000000006,5.358390369567992
19.0,14,20,38.6,22.8,3.288208391459193
19.0,15,18,35.599999999999994,19.9,6.568134643618883
19.0,3,3,2.2,26.2,1.9895778470541288
20.0,22,19,44.6,27.3,1.8589371954975207
20.0,20,23,44.6,26.0,1.3128007792249583
20.0,3,3,2.2,26.2,2.6983947699144113
20.0,24,17,44.6,8.399999999999999,2.058187842453724
20.0,11,22,38.6,26.400000000000006,5.353557131793917
20.0,18,23,50.6,25.6,3.2415873997045184
20.0,22,19,50.6,35.8,1.8068733628555815
20.0,1,1,3.2,31.2,1.9603824625698696
20.0,10,24,32.599999999999994,34.0,5.499629758058403
