"tick","Id","LocationX","LocationY","Money"
8.0,12,41,46,5563.831305285694
8.0,3,5,26,491.5739687103778
8.0,16,41,6,5504.349530614687
8.0,8,17,32,39320.436022315174
8.0,2,5,42,491.4332114952149
8.0,19,53,39,550.4024993777275
8.0,4,5,24,491.4194065066522
8.0,22,41,22,5562.763270139098
8.0,7,17,43,39314.50329745561
8.0,5,5,20,491.59427664722307
8.0,23,53,23,1857.917827129364
8.0,20,41,27,5564.06646163687
9.0,1,5,31,490.44459210366466
9.0,15,29,1,23050.43571415533
9.0,21,53,28,568.0567713081837
9.0,6,17,14,39237.88702513138
9.0,17,53,4,713.8574333190918
9.0,0,5,40,490.41703924163573
9.0,18,41,35,5492.103405582253
9.0,13,53,42,2191.7407755076883
9.0,14,29,5,23048.927252336074
9.0,25,53,9,1864.0205075889826
9.0,9,17,26,39229.69614279643
9.0,24,41,10,5550.718425898942
9.0,11,29,43,23053.66450753033
9.0,10,29,44,23049.486936267564
9.0,12,41,46,5552.590218446406
9.0,3,5,26,490.52071479917504
9.0,16,41,6,5492.393221941523
9.0,8,17,32,39235.49052510457
9.0,2,5,42,490.36236293211675
9.0,19,53,39,626.2028117999434
9.0,4,5,24,490.3468323199837
9.0,22,41,22,5551.3886789064845
9.0,7,17,43,39228.81620963756
9.0,5,5,20,490.54356122812595
9.0,23,53,23,2090.1575555205345
9.0,20,41,27,5552.854769341479
10.0,1,5,31,489.38288011518296
10.0,15,29,1,23002.573015728143
10.0,21,53,28,631.1741903424263
10.0,6,17,14,39153.20780570153
10.0,17,53,4,799.3971481323242
10.0,0,5,40,489.3522658240397
10.0,18,41,35,5480.114895091392
10.0,13,53,42,2441.4897505640984
10.0,14,29,5,23000.896947040084
10.0,25,53,9,2077.356119543314
10.0,9,17,26,39144.10682532936
10.0,24,41,10,5539.269362109935
10.0,11,29,43,23006.16056392259
10.0,10,29,44,23002.434308298958
10.0,12,41,46,5541.349131607118
10.0,3,5,26,489.46746088797227
10.0,16,41,6,5480.436913268359
10.0,8,17,32,39150.54502789397
10.0,2,5,42,489.2915143690186
10.0,19,53,39,702.0031242221594
10.0,4,5,24,489.27425813331524
10.0,22,41,22,5540.0140876738715
10.0,7,17,43,39143.12912181951
10.0,5,5,20,489.49284580902884
10.0,23,53,23,2322.397283911705
10.0,20,41,27,5541.643077046088
11.0,1,5,31,488.32116812670125
11.0,15,29,1,23189.710317300956
11.0,21,53,28,694.2916093766689
11.0,6,17,14,39068.528586271685
11.0,17,53,4,884.9368629455566
11.0,0,5,40,488.2874924064437
11.0,18,41,35,5233.126384600531
11.0,13,53,42,2691.2387256205084
11.0,14,29,5,23187.866641744095
11.0,25,53,9,2290.6917314976454
11.0,9,17,26,39058.5175078623
11.0,24,41,10,5292.8202983209285
11.0,11,29,43,23193.656620314847
11.0,10,29,44,23190.381680330353
11.0,12,41,46,5530.10804476783
11.0,3,5,26,488.4142069767695
11.0,16,41,6,5468.480604595195
11.0,8,17,32,39065.599530683365
11.0,2,5,42,488.2206658059205
11.0,19,53,39,777.8034366443753
11.0,4,5,24,488.20168394664677
11.0,22,41,22,5293.639496441258
11.0,7,17,43,39057.44203400146
11.0,5,5,20,488.4421303899317
11.0,23,53,23,2554.6370123028755
11.0,20,41,27,5295.431384750697
12.0,1,5,31,487.25945613821955
12.0,15,29,1,23141.84761887377
12.0,21,53,28,757.4090284109116
12.0,6,17,14,38983.84936684184
12.0,17,53,4,970.4765777587891
12.0,0,5,40,487.22271898884765
12.0,18,41,35,5219.63700228328
12.0,13,53,42,2940.9877006769184
12.0,14,29,5,23139.836336448105
12.0,25,53,9,2504.027343451977
12.0,9,17,26,38972.928190395236
12.0,24,41,10,5037.704374324653
12.0,11,29,43,23146.152676707105
12.0,10,29,44,23385.097030388886
12.0,12,41,46,5518.8669579285415
12.0,3,5,26,487.3609530655667
12.0,16,41,6,5456.52429592203
12.0,8,17,32,38980.65403347276
12.0,2,5,42,487.14981724282234
12.0,19,53,39,853.6037490665913
12.0,4,5,24,487.1291097599783
12.0,22,41,22,5280.298452117328
12.0,7,17,43,38971.75494618341
12.0,5,5,20,487.3914149708346
12.0,23,53,23,2786.876740694046
12.0,20,41,27,5282.6804147486455
13.0,1,5,31,486.19774414973784
13.0,15,29,1,23093.984920446583
13.0,21,53,28,820.5264474451542
13.0,6,17,14,38903.17014741199
13.0,17,53,4,1056.0162925720215
13.0,0,5,40,486.1579455712516
13.0,18,41,35,5207.532300772354
13.0,13,53,42,3190.7366757333284
13.0,14,29,5,23091.806031152115
13.0,25,53,9,2717.362955406308
13.0,9,17,26,38891.33887292817
13.0,24,41,10,5022.416390154084
13.0,11,29,43,23098.648733099362
13.0,10,29,44,23338.04440242028
13.0,12,41,46,5507.625871089253
13.0,3,5,26,486.30769915436395
13.0,16,41,6,5444.567987248866
13.0,8,17,32,38895.70853626216
13.0,2,5,42,486.0789686797242
13.0,19,53,39,929.4040614888072
13.0,4,5,24,486.0565355733098
13.0,22,41,22,5267.822617218873
13.0,7,17,43,38890.067858365364
13.0,5,5,20,486.3406995517375
13.0,23,53,23,3019.1164690852165
13.0,20,41,27,5271.271274267526
14.0,1,5,31,485.13603216125614
14.0,15,29,1,23046.122222019396
14.0,21,53,28,883.6438664793968
14.0,6,17,14,38822.490927982144
14.0,17,53,4,1051.4442253983336
